model,mcc_median,mcc_ci_low,mcc_ci_high,n_outer_points,ci_overlap_with_top,roc_auc_median,pr_auc_median,balanced_accuracy_median,f1_median,recall_median,specificity_median,precision_median
lr_elasticnet,0.6822884340806532,0.6242392755610096,0.7131506501658925,50,True,0.9014827764827764,0.8903106266653219,0.840034965034965,0.8156618156618156,0.7727272727272727,0.8846153846153846,0.8571428571428571
lda,0.6666709455907396,0.6123651841185596,0.6801369919722783,50,True,0.8953962703962703,0.8875607892047077,0.8251748251748252,0.8,0.7727272727272727,0.8846153846153846,0.8571428571428571
catboost,0.5875420875420876,0.5501491185025111,0.6366293385581132,50,True,0.8721833721833722,0.8790380701314574,0.7937710437710437,0.7727272727272727,0.7559288537549407,0.8461538461538461,0.7860411899313502
rf,0.5829752480681661,0.5461817025461684,0.6405219728047404,50,True,0.876473063973064,0.8755931719825099,0.7871693523867437,0.7639311043566362,0.7559288537549407,0.8461538461538461,0.8
lightgbm,0.5769110218042345,0.5426943322916377,0.6216038822203304,50,False,0.8545910611128003,0.8592174755662056,0.7816627816627816,0.7587301587301587,0.7727272727272727,0.8148148148148148,0.782608695652174
xgboost,0.5467535412138511,0.5229975846277625,0.5866127140806063,50,False,0.8542152292152292,0.8619697301233236,0.771011396011396,0.7555555555555555,0.7727272727272727,0.7777777777777778,0.755
gnb,0.4781676311293761,0.46920230398513946,0.5037966318907183,50,False,0.8767482517482518,0.8536234000218283,0.7206288075853293,0.7438490978676873,0.9090909090909091,0.5384615384615384,0.6143790849673203
