model,stage,search_strategy,mcc_median,mcc_mean,mcc_std,mcc_ci_low,mcc_ci_high,roc_auc_median,roc_auc_mean,roc_auc_std,roc_auc_ci_low,roc_auc_ci_high,pr_auc_median,pr_auc_mean,pr_auc_std,pr_auc_ci_low,pr_auc_ci_high,balanced_accuracy_median,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci_low,balanced_accuracy_ci_high,f1_median,f1_mean,f1_std,f1_ci_low,f1_ci_high,recall_median,recall_mean,recall_std,recall_ci_low,recall_ci_high,specificity_median,specificity_mean,specificity_std,specificity_ci_low,specificity_ci_high,precision_median,precision_mean,precision_std,precision_ci_low,precision_ci_high
catboost,default_repeated_cv,none,0.5875420875420876,0.5940533042479433,0.1264689960383028,0.5501491185025111,0.6366293385581132,0.8721833721833722,0.8780589619720054,0.049556782116775173,0.861046361046361,0.8942307692307693,0.8790380701314574,0.8775403830511469,0.05316346201608437,0.8545198015126313,0.8964013235302439,0.7937710437710437,0.793693062171323,0.06300332869024206,0.7748640248640248,0.809365498631803,0.7727272727272727,0.7729867906098253,0.07078855327565797,0.7527777777777778,0.7849960444218884,0.7559288537549407,0.7592094861660081,0.0934925466348512,0.7272727272727273,0.8181818181818182,0.8461538461538461,0.8281766381766382,0.0839831754975095,0.8076923076923077,0.8461538461538461,0.7860411899313502,0.795237945803318,0.08401825452042587,0.76,0.8181818181818182
gnb,default_repeated_cv,none,0.4781676311293761,0.4936753051626665,0.12486672826040512,0.46920230398513946,0.5037966318907183,0.8767482517482518,0.8659027003592221,0.05915938469225176,0.8531468531468531,0.8905822438431135,0.8536234000218283,0.8477888817646344,0.0715645845917637,0.828795225045638,0.8889784334637276,0.7206288075853293,0.7302903055076966,0.06550587889230901,0.7067877774399514,0.7290209790209791,0.7438490978676873,0.7466220862046962,0.05395604701050151,0.7368421052631579,0.75,0.9090909090909091,0.898814229249012,0.08523918893119432,0.866600790513834,0.9545454545454546,0.5384615384615384,0.5617663817663817,0.15815219908945669,0.5,0.5555555555555556,0.6143790849673203,0.6489722753711186,0.09611177788387419,0.6052631578947368,0.6306818181818181
lda,default_repeated_cv,none,0.6666709455907396,0.6468464727551269,0.10764600093103088,0.6123651841185596,0.6801369919722783,0.8953962703962703,0.8925755886625452,0.04748274829155635,0.8828671328671329,0.9161120682859814,0.8875607892047077,0.8885476175891107,0.05218797267001854,0.8671064769073056,0.9126000862176893,0.8251748251748252,0.8175710280058105,0.054282089986737295,0.797040922040922,0.8406191232278188,0.8,0.7956314415490244,0.06372225297739181,0.76759410801964,0.8260869565217391,0.7727272727272727,0.7603557312252965,0.09056544995191992,0.7272727272727273,0.8181818181818182,0.8846153846153846,0.8747863247863248,0.07509584902571143,0.8653846153846154,0.9230769230769231,0.8571428571428571,0.8438557769135437,0.07769448211188544,0.8221343873517787,0.8786764705882353
lightgbm,default_repeated_cv,none,0.5769110218042345,0.5701433932138033,0.11670201453968126,0.5426943322916377,0.6216038822203304,0.8545910611128003,0.8574107293672512,0.04418401918296554,0.8401869869261174,0.8715034965034965,0.8592174755662056,0.8525671230287543,0.05039496629596008,0.8414876851365668,0.8730858168070444,0.7816627816627816,0.7815483711135884,0.05901732513024863,0.76505439005439,0.8076923076923077,0.7587301587301587,0.7588503877690728,0.06997447466335954,0.7394399620313241,0.7906976744186046,0.7727272727272727,0.7478260869565218,0.10247708307668853,0.7272727272727273,0.8181818181818182,0.8148148148148148,0.8152706552706551,0.08210795182383228,0.8076923076923077,0.8461538461538461,0.782608695652174,0.7803165047647347,0.07754088585193883,0.755,0.8095238095238095
lr_elasticnet,default_repeated_cv,none,0.6822884340806532,0.657519835753723,0.12285020300988572,0.6242392755610096,0.7131506501658925,0.9014827764827764,0.8989995270430053,0.04334131536885372,0.887950435233044,0.9162359379750684,0.8903106266653219,0.8930245127479283,0.04942143086837515,0.8746122619698008,0.9204723142470179,0.840034965034965,0.8235354098397578,0.06167532482933781,0.8093645484949833,0.8503626003626004,0.8156618156618156,0.8035420498313683,0.07110223882909371,0.7804878048780488,0.8333333333333334,0.7727272727272727,0.7737944664031619,0.09441376238744759,0.7391304347826086,0.8181818181818182,0.8846153846153846,0.8732763532763533,0.0819961690919568,0.8846153846153846,0.9230769230769231,0.8571428571428571,0.8449121970549754,0.08584711969073638,0.8328173374613003,0.8888888888888888
rf,default_repeated_cv,none,0.5829752480681661,0.5994504077027523,0.11965470192501859,0.5461817025461684,0.6405219728047404,0.876473063973064,0.8819857437248741,0.04525731610418885,0.8645104895104895,0.8982776482776482,0.8755931719825099,0.8766490060754907,0.05149668023132748,0.8554415457947381,0.90011942512065,0.7871693523867437,0.7953442451268538,0.05982213155518779,0.7710429616679616,0.8146473092125266,0.7639311043566362,0.7719755201473624,0.0690361990038622,0.747093023255814,0.7894736842105263,0.7559288537549407,0.7457312252964426,0.0927592384181163,0.7114624505928854,0.7727272727272727,0.8461538461538461,0.844957264957265,0.0770663411695141,0.8148148148148148,0.8846153846153846,0.8,0.8084369085083515,0.08033336036663893,0.7727272727272727,0.8333333333333334
xgboost,default_repeated_cv,none,0.5467535412138511,0.5597325823790408,0.10576644745797013,0.5229975846277625,0.5866127140806063,0.8542152292152292,0.8606995259169171,0.04601767971803121,0.8410611128002432,0.8828671328671329,0.8619697301233236,0.8594427731077054,0.049838839194950066,0.8443405116297363,0.8779554315861662,0.771011396011396,0.7778203439073005,0.05405092761485721,0.756993006993007,0.7911022150152585,0.7555555555555555,0.75766981929519,0.06829364275583227,0.747093023255814,0.7727272727272727,0.7727272727272727,0.7631620553359683,0.10018836432052945,0.7391304347826086,0.7728507905138333,0.7777777777777778,0.7924786324786325,0.07534590019227107,0.7692307692307693,0.8304843304843305,0.755,0.7612684527736014,0.0667065326837422,0.7349498327759196,0.7860411899313502
