model,stage,search_strategy,mcc_median,mcc_mean,mcc_std,mcc_ci_low,mcc_ci_high,roc_auc_median,roc_auc_mean,roc_auc_std,roc_auc_ci_low,roc_auc_ci_high,pr_auc_median,pr_auc_mean,pr_auc_std,pr_auc_ci_low,pr_auc_ci_high,balanced_accuracy_median,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci_low,balanced_accuracy_ci_high,f1_median,f1_mean,f1_std,f1_ci_low,f1_ci_high,recall_median,recall_mean,recall_std,recall_ci_low,recall_ci_high,specificity_median,specificity_mean,specificity_std,specificity_ci_low,specificity_ci_high,precision_median,precision_mean,precision_std,precision_ci_low,precision_ci_high
catboost,tuned_rncv_full_features,optuna,0.5915890699056159,0.6134538782742963,0.1176297757594923,0.5804195804195804,0.6643356643356644,0.8790468790468791,0.8812783351913785,0.04603285605098374,0.8601398601398602,0.8963210702341137,0.8830084598614243,0.8816647536125153,0.04899751205197351,0.8610592471916414,0.8979335502556067,0.7937386687386687,0.8024362915667262,0.058600769479414234,0.7849650349650349,0.8216783216783217,0.7779990044798407,0.7812567481935886,0.06673670855921493,0.7555555555555555,0.7953488372093023,0.7559288537549407,0.7592885375494072,0.0909502907017006,0.7272727272727273,0.7954545454545454,0.8682336182336182,0.8455840455840454,0.08228658497080409,0.8461538461538461,0.8846153846153846,0.8248081841432224,0.8131849379884311,0.08218513705336344,0.7727272727272727,0.8421052631578947
gnb,tuned_rncv_full_features,optuna,0.5203057493211802,0.5217099754755461,0.12577880002243713,0.49671809136521594,0.5538261490829887,0.8767482517482518,0.8659201828767046,0.05912692720343716,0.8531468531468531,0.8905822438431135,0.8536234000218283,0.8482434272191799,0.07061513450323012,0.828795225045638,0.8889784334637276,0.7465034965034965,0.7515465693726563,0.06394365401158886,0.7333260489510491,0.7642140468227425,0.7547169811320755,0.7585665928522178,0.0560004575234067,0.7520491803278688,0.7735380116959063,0.8695652173913043,0.8782213438735178,0.08187161932912859,0.8636363636363636,0.9090909090909091,0.5925925925925926,0.6248717948717949,0.13234512095989623,0.5769230769230769,0.6225071225071226,0.6451612903225806,0.675704132988869,0.08779356969924942,0.6363636363636364,0.6720430107526881
lda,tuned_rncv_full_features,optuna,0.6671909766047381,0.6740115655038297,0.11979802879726702,0.6272155587605561,0.7358286826886946,0.9022597772597774,0.8970368681238245,0.04367026364783404,0.8837412587412588,0.9214046822742474,0.8946874770072815,0.8928894453839668,0.04786071219044333,0.8751772001703629,0.917864133562105,0.8321678321678322,0.8310561580126797,0.05962699673659009,0.8076923076923077,0.8603341103341103,0.8172541743970316,0.8112123021541926,0.0683639007822287,0.7894736842105263,0.8436046511627907,0.7727272727272727,0.7720553359683794,0.08554871938250494,0.7391304347826086,0.8181818181818182,0.9230769230769231,0.89005698005698,0.07724203479364662,0.8846153846153846,0.9230769230769231,0.8722826086956521,0.8622839525742003,0.0854057145870815,0.8333333333333334,0.9
lightgbm,tuned_rncv_full_features,optuna,0.5799787222332802,0.5782081061955723,0.11455554802204564,0.5379391211744428,0.6216038822203304,0.8776223776223776,0.8742999110390415,0.045566756206712564,0.8552188552188552,0.8904748783824872,0.8755925109389695,0.8721501789146088,0.05253854971355627,0.8628626585817938,0.8902129809918435,0.7884235329887503,0.784689706428837,0.05688952955462147,0.7654105154105154,0.798951048951049,0.7619047619047619,0.7603972416091286,0.0672369356605827,0.7317073170731707,0.7779990044798407,0.7272727272727273,0.7386956521739131,0.09646831356005409,0.6956521739130435,0.7727272727272727,0.8148148148148148,0.8306837606837607,0.08010622602990032,0.8076923076923077,0.8461538461538461,0.7801932367149759,0.7938404311437155,0.08433199780022402,0.7559523809523809,0.8
lr_elasticnet,tuned_rncv_full_features,optuna,0.6693419514856722,0.6597656784857403,0.11276041134552106,0.626219537074564,0.708939636514663,0.9012237762237763,0.899045133610351,0.04364790246426561,0.8841945091945091,0.9197324414715718,0.8917435870839601,0.8934428206447822,0.04958799578940919,0.8803326220470429,0.9175797522635467,0.8269230769230769,0.824521863000124,0.05692065786759754,0.8080808080808081,0.847945804195804,0.8095238095238095,0.803518166998945,0.06681719608400019,0.7804878048780488,0.8332387975042541,0.7727272727272727,0.7673913043478262,0.08853644206143273,0.7272727272727273,0.8181818181818182,0.8846153846153846,0.8816524216524216,0.0687932069218023,0.8846153846153846,0.9230769230769231,0.8571428571428571,0.8506384059265941,0.07617476173398995,0.8377192982456141,0.8888888888888888
rf,tuned_rncv_full_features,optuna,0.5908837753665056,0.6062979270919352,0.12776002520197083,0.5486608072966978,0.6643482831758064,0.888986013986014,0.8891639922074706,0.042276958624597495,0.8748381248381248,0.9064685314685315,0.8933486407060482,0.8899450913083113,0.04501394748800487,0.8692523175487508,0.9077721004653373,0.7937062937062938,0.7981608729434817,0.06385190319943815,0.7622377622377622,0.8286713286713286,0.7759197324414716,0.7752317280052357,0.07384004432252235,0.7346938775510204,0.8095238095238095,0.7727272727272727,0.7484584980237154,0.09725398854815732,0.7272727272727273,0.7727272727272727,0.849002849002849,0.8478632478632477,0.08722114631526647,0.8461538461538461,0.8846153846153846,0.8095238095238095,0.8144301199279325,0.0901224789688796,0.7801932367149759,0.85
xgboost,tuned_rncv_full_features,optuna,0.5634212823498672,0.5847338384072095,0.11769391146826494,0.5423922407117129,0.6259425950109287,0.8708574034660992,0.8754124297602559,0.045307193459650036,0.8518518518518519,0.8951048951048951,0.8743618097786461,0.8760619512291989,0.04882223901014656,0.8515822670946862,0.8966238238821826,0.7766122766122766,0.7866147540060582,0.058620828644055226,0.763986013986014,0.8059440559440559,0.7619047619047619,0.7617691172025125,0.06759692468971693,0.7272727272727273,0.7804878048780488,0.7272727272727273,0.7351383399209488,0.0995851911833051,0.6956521739130435,0.7727272727272727,0.8461538461538461,0.8380911680911681,0.09261768456945689,0.8076923076923077,0.8846153846153846,0.7894736842105263,0.8039800453224804,0.09117483706454356,0.7619047619047619,0.8260869565217391
