model,mcc_median,mcc_ci_low,mcc_ci_high,n_outer_points,ci_overlap_with_top,roc_auc_median,pr_auc_median,balanced_accuracy_median,f1_median,recall_median,specificity_median,precision_median
lr_elasticnet,0.6693419514856722,0.626219537074564,0.708939636514663,50,True,0.9012237762237763,0.8917435870839601,0.8269230769230769,0.8095238095238095,0.7727272727272727,0.8846153846153846,0.8571428571428571
lda,0.6671909766047381,0.6272155587605561,0.7358286826886946,50,True,0.9022597772597774,0.8946874770072815,0.8321678321678322,0.8172541743970316,0.7727272727272727,0.9230769230769231,0.8722826086956521
catboost,0.5915890699056159,0.5804195804195804,0.6643356643356644,50,True,0.8790468790468791,0.8830084598614243,0.7937386687386687,0.7779990044798407,0.7559288537549407,0.8682336182336182,0.8248081841432224
rf,0.5908837753665056,0.5486608072966978,0.6643482831758064,50,True,0.888986013986014,0.8933486407060482,0.7937062937062938,0.7759197324414716,0.7727272727272727,0.849002849002849,0.8095238095238095
lightgbm,0.5799787222332802,0.5379391211744428,0.6216038822203304,50,False,0.8776223776223776,0.8755925109389695,0.7884235329887503,0.7619047619047619,0.7272727272727273,0.8148148148148148,0.7801932367149759
xgboost,0.5634212823498672,0.5423922407117129,0.6259425950109287,50,False,0.8708574034660992,0.8743618097786461,0.7766122766122766,0.7619047619047619,0.7272727272727273,0.8461538461538461,0.7894736842105263
gnb,0.5203057493211802,0.49671809136521594,0.5538261490829887,50,False,0.8767482517482518,0.8536234000218283,0.7465034965034965,0.7547169811320755,0.8695652173913043,0.5925925925925926,0.6451612903225806
