feature_name,selection_count,selection_frequency
cat__cp_4.0,50,1.0
cat__thal_3.0,50,1.0
cat__thal_7.0,50,1.0
ord__ca,50,1.0
bin__exang,45,0.9
num__oldpeak,45,0.9
num__thalach,45,0.9
cat__slope_2.0,42,0.84
cat__slope_1.0,39,0.78
cat__cp_3.0,33,0.66
bin__sex,30,0.6
num__chol,28,0.56
cat__cp_2.0,25,0.5
cat__thal_6.0,22,0.44
cat__restecg_0.0,19,0.38
cat__cp_1.0,18,0.36
cat__restecg_2.0,18,0.36
cat__slope_3.0,17,0.34
bin__fbs,16,0.32
cat__restecg_1.0,13,0.26
num__trestbps,9,0.18
num__age,7,0.14
